,Time,Base_B02512,Base_B02598,Base_B02617,Base_B02682,Base_B02764,Base_B02765
297,2014-04-13 09:00:00,33.0,140.0,95.0,163.0,8.0,0.0
298,2014-04-13 10:00:00,32.0,162.0,108.0,178.0,9.0,0.0
299,2014-04-13 11:00:00,51.0,188.0,132.0,201.0,9.0,0.0
300,2014-04-13 12:00:00,37.0,174.0,139.0,224.0,6.0,0.0
301,2014-04-13 13:00:00,38.0,184.0,145.0,277.0,8.0,0.0
302,2014-04-13 14:00:00,48.0,248.0,151.0,279.0,14.0,0.0
303,2014-04-13 15:00:00,66.0,242.0,174.0,311.0,19.0,0.0
304,2014-04-13 16:00:00,65.0,261.0,175.0,360.0,17.0,0.0
305,2014-04-13 17:00:00,52.0,240.0,134.0,333.0,16.0,0.0
306,2014-04-13 18:00:00,43.0,183.0,109.0,299.0,13.0,0.0
307,2014-04-13 19:00:00,38.0,176.0,82.0,252.0,6.0,0.0
308,2014-04-13 20:00:00,29.0,152.0,75.0,221.0,13.0,0.0
309,2014-04-13 21:00:00,29.0,155.0,74.0,249.0,7.0,0.0
310,2014-04-13 22:00:00,24.0,125.0,57.0,170.0,9.0,0.0
311,2014-04-13 23:00:00,17.0,70.0,44.0,91.0,6.0,0.0
312,2014-04-14 00:00:00,6.0,40.0,23.0,49.0,1.0,0.0
313,2014-04-14 01:00:00,3.0,13.0,10.0,22.0,0.0,0.0
314,2014-04-14 02:00:00,2.0,16.0,7.0,19.0,1.0,0.0
315,2014-04-14 03:00:00,5.0,39.0,20.0,57.0,1.0,0.0
316,2014-04-14 04:00:00,9.0,61.0,32.0,102.0,4.0,0.0
317,2014-04-14 05:00:00,22.0,117.0,75.0,160.0,4.0,0.0
318,2014-04-14 06:00:00,51.0,199.0,141.0,281.0,10.0,0.0
319,2014-04-14 07:00:00,60.0,277.0,178.0,382.0,14.0,0.0
320,2014-04-14 08:00:00,48.0,219.0,146.0,305.0,12.0,0.0
321,2014-04-14 09:00:00,44.0,140.0,113.0,185.0,9.0,0.0
322,2014-04-14 10:00:00,33.0,136.0,88.0,177.0,9.0,0.0
323,2014-04-14 11:00:00,26.0,135.0,102.0,168.0,12.0,0.0
324,2014-04-14 12:00:00,46.0,132.0,100.0,208.0,8.0,0.0
325,2014-04-14 13:00:00,34.0,166.0,108.0,219.0,11.0,0.0
326,2014-04-14 14:00:00,53.0,225.0,135.0,297.0,12.0,0.0
327,2014-04-14 15:00:00,53.0,313.0,186.0,371.0,21.0,0.0
328,2014-04-14 16:00:00,52.0,328.0,207.0,421.0,22.0,0.0
329,2014-04-14 17:00:00,72.0,298.0,198.0,375.0,22.0,0.0
330,2014-04-14 18:00:00,51.0,236.0,134.0,286.0,14.0,0.0
331,2014-04-14 19:00:00,47.0,202.0,109.0,274.0,11.0,0.0
332,2014-04-14 20:00:00,47.0,211.0,108.0,297.0,14.0,0.0
333,2014-04-14 21:00:00,45.0,188.0,107.0,263.0,17.0,0.0
334,2014-04-14 22:00:00,31.0,113.0,90.0,200.0,9.0,0.0
335,2014-04-14 23:00:00,14.0,85.0,43.0,110.0,5.0,0.0
336,2014-04-15 00:00:00,9.0,36.0,25.0,66.0,1.0,0.0
337,2014-04-15 01:00:00,1.0,20.0,18.0,31.0,1.0,0.0
338,2014-04-15 02:00:00,1.0,18.0,16.0,26.0,0.0,0.0
339,2014-04-15 03:00:00,6.0,32.0,26.0,39.0,1.0,0.0
340,2014-04-15 04:00:00,8.0,42.0,32.0,55.0,4.0,0.0
341,2014-04-15 05:00:00,16.0,84.0,60.0,114.0,3.0,0.0
342,2014-04-15 06:00:00,34.0,157.0,118.0,248.0,7.0,0.0
343,2014-04-15 07:00:00,49.0,286.0,223.0,422.0,12.0,0.0
344,2014-04-15 08:00:00,49.0,299.0,198.0,369.0,6.0,0.0
345,2014-04-15 09:00:00,48.0,192.0,136.0,278.0,9.0,0.0
346,2014-04-15 10:00:00,60.0,211.0,155.0,290.0,11.0,0.0
347,2014-04-15 11:00:00,54.0,216.0,162.0,300.0,9.0,0.0
348,2014-04-15 12:00:00,48.0,212.0,144.0,275.0,9.0,0.0
349,2014-04-15 13:00:00,58.0,243.0,157.0,323.0,17.0,0.0
350,2014-04-15 14:00:00,56.0,300.0,158.0,353.0,14.0,0.0
